AQS Code  Sort by AQS Code descending,CAMS,TCEQ Region,Reg#,Site Name,Street Address,City,ZIP,Latitude,Longitude,Elevation,UTM Zone,UTM Letter,Easting Meters,Northing Meters,Params,Activation Date,Deactivation Date,Owned By
480055013,5013,BEAUMONT,10,Lufkin KLFK,Angelina County Airport,Lufkin,,31.233889,-94.75,85.0m,15,R,309050,3431319,13,2-Sep-05,Active,National Weather Service
480210684,684,AUSTIN,11,McKinney Roughs,1884 State Hwy 71 W,Cedar Creek,,30.140877,-97.4588971,158.0m,14,R,692915,3320469,6,16-Aug-06,Active,Capitol Area Council of Governments
480271045,1045,WACO,9,Temple Georgia,8406 Georgia Avenue,Temple,76502,31.1224187,-97.4310523,188.0m,14,R,690950,3431319,7,4-Oct-13,Active,TCEQ
480271047,1047,WACO,9,Killeen Skylark Field,1605 Stone Tree Drive,Killeen,76543,31.0880022,-97.6797343,256.0m,14,R,595468,3430031,7,11-Jun-09,Active,TCEQ
480290032,23,SAN ANTONIO,13,San Antonio Northwest,6655 Bluebird Lane,San Antonio,,29.51509,-98.620166,,14,R,500000,3318785,17,1-Jul-81,Active,TCEQ
480290051,140,SAN ANTONIO,13,San Antonio Seale,254 Seale Road,San Antonio,,29.4450463,-98.406501,,14,R,597403,3208398,6,13-Jul-94,Active,TCEQ
480290052,58,SAN ANTONIO,13,Camp Bullis,F Range (1000Yd marker off Wilderness Trail) Near Wilderness Rd,San Antonio,,29.6320582,-98.5649364,311.0m,14,R,500000,3318785,11,10-Aug-98,Active,TCEQ
480290053,301,SAN ANTONIO,13,Selma,16289 North Evans Rd #2,Selma,,29.5877408,-98.3125118,226.0m,14,R,596450,3319206,2,6-Oct-99,Active,TCEQ
480290055,678,SAN ANTONIO,13,CPS Pecan Valley,802 Pecan Valley Drive,San Antonio,,29.4072945,-98.431251,189.0m,14,R,597403,3208398,14,11-Mar-99,Active,San Antonio City Public Services
480290059,59,SAN ANTONIO,13,Calaveras Lake,14620 Laguna Rd,San Antonio,,29.2753812,-98.3116919,,14,R,597403,3208398,20,12-May-98,Active,TCEQ
