Monitoring Site,POC,First Valid Data,Monitor Status,
Fuel Cell Amperage measured in amps,,,,
,Port of Houston (Fuel Cell) C240,,,
"Deactivated: Aug 9, 2001",1,1-Feb-01,"Shutdown Aug 9, 2001",
Fuel Cell Voltage DC measured in volts,,,,
,Port of Houston (Fuel Cell) C240,,,
"Deactivated: Aug 9, 2001",1,1-Feb-01,"Shutdown Aug 9, 2001",
Fuel Cell Power measured in kilowatts,,,,
,Port of Houston (Fuel Cell) C240,,,
"Deactivated: Aug 9, 2001",1,1-Feb-01,"Shutdown Aug 9, 2001",
Fuel Cell Efficiency measured in percent,,,,
,Port of Houston (Fuel Cell) C240,,,
"Deactivated: Aug 9, 2001",1,8-Feb-01,"Shutdown Aug 9, 2001",
3-Methyl-1-Butene And Cyclopentene measured in parts per billion,,,,
,Galena Park A167/1667,2,8-Sep-11,"Shutdown Jan 26, 2013"
2-Methylhexane And 2-3-Dimethylpentane measured in parts per billion,,,,
,Galena Park A167/1667,2,9-Sep-11,"Shutdown Jan 26, 2013"
Extinction Coefficient measured in inverse miles,,,,
,Galveston Airport KGLS C5005,1,22-Jan-03,Active
Conroe Airport KCXO C5006,1,23-Jan-03,Active,
Huntsville KUTS C5012,1,2-Sep-05,Active,
Day/Night Flag measured in no units,,,,
,Galveston Airport KGLS C5005,1,22-Jan-03,Active
Conroe Airport KCXO C5006,1,23-Jan-03,Active,
Huntsville KUTS C5012,1,2-Sep-05,Active,
Present Weather measured in no units,,,,
,Galveston Airport KGLS C5005,1,22-Jan-03,Active
Conroe Airport KCXO C5006,1,23-Jan-03,Active,
Huntsville KUTS C5012,1,2-Sep-05,Active,
Present Weather Obscuration measured in no units,,,,
,Galveston Airport KGLS C5005,1,22-Jan-03,Active
Conroe Airport KCXO C5006,1,23-Jan-03,Active,
Huntsville KUTS C5012,1,2-Sep-05,Active,
Carbon Monoxide measured in parts per million,,,,
,Houston Aldine C8/AF108/X150,1 R,4-Apr-97,"Shutdown Sep 4, 2014"
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1 R,21-Mar-97,"Shutdown Dec 14, 2010",
Hou.DeerPrk2 C35/235/1001/AFH139FP239,2 N,14-Dec-10,Active,
Port of Houston (Fuel Cell) C240,,,,
"Deactivated: Aug 9, 2001",1 R,31-Jan-01,"Shutdown Aug 9, 2001",
Clinton C403/C304/AH113,1 R,20-Jan-00,Active,
Houston Crawford C407,,,,
"Deactivated: Mar 27, 2001",1 R,23-Feb-00,"Shutdown Mar 27, 2001",
Lang C408,1 R,8-Mar-00,Active,
Houston Texas Avenue C411,1 R,30-Mar-01,Active,
Park Place C416,1 R,23-Feb-06,Active,
UH Moody Tower C695,1 N,5-May-10,Active,
UH Coastal Center C697,1 N,6-Oct-11,Active,
UH WG Jones Forest C698,1 N,6-Oct-11,Active,
UH West Liberty C699,1 N,6-Oct-11,Active,
Hydrochloric Acid measured in parts per billion,,,,
,Pasadena AAMS C672,,,
"Deactivated: Mar 3, 2009",1,10-Oct-06,"Shutdown Mar 2, 2009",
Sulfur Dioxide measured in parts per billion,,,,
,Texas City C10,,,
"Deactivated: Jul 8, 2004",2 R,22-May-97,"Shutdown Feb 18, 2004",
Houston Deer Park C18,,,,
"Deactivated: Oct 22, 1996",1 R,2-Aug-96,"Shutdown Oct 23, 1996",
Houston Manchester C22,,,,
"Deactivated: Jan 20, 1998",1 R,2-Aug-96,"Shutdown Jan 20, 1998",
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1 N,17-Dec-10,"Shutdown Dec 13, 2010",
Hou.DeerPrk2 C35/235/1001/AFH139FP239,2 R,13-Dec-10,Active,
Seabrook Friendship Park C45,1 R,29-Jul-01,Active,
Houston Regional Office C81,,,,
"Deactivated: Jun 25, 2012",1 R,4-May-00,"Shutdown Jun 25, 2012",
Port of Houston (Fuel Cell) C240,,,,
"Deactivated: Aug 9, 2001",1 R,1-Feb-01,"Shutdown Aug 9, 2001",
Clinton C403/C304/AH113,2 R,20-Jan-00,Active,
Houston North Wayside C405,1 R,22-Feb-00,Active,
Houston Monroe C406,1 R,9-Feb-00,Active,
Houston Croquet C409,2 R,9-Feb-00,Active,
Park Place C416,1 R,22-Feb-06,Active,
Freeport South Avenue I C1012,1 N,25-May-11,Active,
Baytown Garth C1017,1 R,5-Jun-12,Active,
Texas City Ball Park A147/C1022,1 R,19-Feb-04,Active,
Hydrogen Sulfide measured in parts per billion,,,,
,Texas City C10,,,
"Deactivated: Jul 8, 2004",2 R,10-Jan-02,"Shutdown Feb 8, 2004",
Texas City Ball Park A147/C1022,1 R,19-Feb-04,Active,
NOy measured in parts per billion,,,,
,Houston Aldine C8/AF108/X150,2,8-Jun-00,Active
Galveston Airport C34/A109/X152,,,,
"Deactivated: Mar 21, 2007",2,14-Jun-00,"Shutdown Mar 21, 2007",
Hou.DeerPrk2 C35/235/1001/AFH139FP239,2,15-Jun-00,"Shutdown Dec 14, 2010",
Hou.DeerPrk2 C35/235/1001/AFH139FP239,3,14-Dec-10,Active,
Houston Bayland Park C53/A146,2,16-Jun-00,"Shutdown May 18, 2007",
HRM-3 Haden Road C603/A114,2,25-Jul-00,"Shutdown Apr 27, 2005",
Galveston 99th St. C1034/A320/X183,2,22-Mar-07,"Shutdown Aug 23, 2012",
Nitric Oxide measured in parts per billion,,,,
,Houston East C1/G316,1,8-May-97,Active
Houston Aldine C8/AF108/X150,1,7-Apr-97,Active,
Houston Aldine C8/AF108/X150,2,8-Jun-00,Active,
Channelview C15/AH115,2,25-Jul-01,Active,
Northwest Harris Co. C26/A110/X154,1,1-May-97,Active,
Galveston Airport C34/A109/X152,,,,
"Deactivated: Mar 21, 2007",1,16-Apr-97,"Shutdown Mar 21, 2007",
Galveston Airport C34/A109/X152,,,,
"Deactivated: Mar 21, 2007",2,14-Jun-00,"Shutdown Mar 21, 2007",
