AQS_Code,siteID,CAMS,TCEQRegion,Region,Name,Address,Latitude,Longitude,Active,Deactive,Owner
480055013,48_005_5013,5013,BEAUMONT,10,Lufkin KLFK,Angelina County Airport,31.233889,-94.75,2-Sep-05,,National Weather Service
480210684,48_021_0684,684,AUSTIN,11,McKinney Roughs,1884 State Hwy 71 W,30.140877,-97.4588971,16-Aug-06,,Capitol Area Council of Governments
480271045,48_027_1045,1045,WACO,9,Temple Georgia,8406 Georgia Avenue,31.1224187,-97.4310523,4-Oct-13,,TCEQ
480271047,48_027_1047,1047,WACO,9,Killeen Skylark Field,1605 Stone Tree Drive,31.0880022,-97.6797343,11-Jun-09,,TCEQ
480290032,48_029_0032,23,SAN ANTONIO,13,San Antonio Northwest,6655 Bluebird Lane,29.51509,-98.620166,1-Jul-81,,TCEQ
480290051,48_029_0051,140,SAN ANTONIO,13,San Antonio Seale,254 Seale Road,29.4450463,-98.406501,13-Jul-94,,TCEQ
480290052,48_029_0052,58,SAN ANTONIO,13,Camp Bullis,F Range (1000Yd marker off Wilderness Trail) Near Wilderness Rd,29.6320582,-98.5649364,10-Aug-98,,TCEQ
480290053,48_029_0053,301,SAN ANTONIO,13,Selma,16289 North Evans Rd #2,29.5877408,-98.3125118,6-Oct-99,,TCEQ
480290055,48_029_0055,678,SAN ANTONIO,13,CPS Pecan Valley,802 Pecan Valley Drive,29.4072945,-98.431251,11-Mar-99,,San Antonio City Public Services
480290059,48_029_0059,59,SAN ANTONIO,13,Calaveras Lake,14620 Laguna Rd,29.2753812,-98.3116919,12-May-98,,TCEQ
480290060,48_029_0060,,SAN ANTONIO,13,Frank Wing Municipal Court,401 South Frio St,29.4221832,-98.505381,18-May-00,,TCEQ
480290501,48_029_0501,501,SAN ANTONIO,13,Elm Creek Elementary,11535 Pearsall Rd,29.276667,-98.724444,17-Jun-02,,Alamo Area Council of Governments
480290502,48_029_0502,502,SAN ANTONIO,13,Fair Oaks Ranch,7286 Dietz Elkhorn Rd,29.73,-98.625556,27-Jun-02,,Alamo Area Council of Governments
480290622,48_029_0622,622,SAN ANTONIO,13,Heritage Middle School,7145 Gardner Road,29.3529047,-98.3328207,29-Jul-04,,San Antonio City Public Services
480290623,48_029_0623,623,SAN ANTONIO,13,Gardner Rd. Gas Sub-Station,9599 Gardner Road,29.3319444,-98.3258333,28-Jun-05,,San Antonio City Public Services
480290625,48_029_0625,625,SAN ANTONIO,13,Gate 9A CPS,12941 Cassiano Road,29.2922222,-98.3377778,1-Jun-05,,San Antonio City Public Services
480290626,48_029_0626,626,SAN ANTONIO,13,Gate 58 CPS,1100 Hildebrandt,29.3177778,-98.3316667,1-Jun-05,,San Antonio City Public Services
480290676,48_029_0676,676,SAN ANTONIO,13,Palo Alto,9011 Poteet Jourdanton Hwy,29.3327898,-98.5513832,1-Aug-06,,San Antonio Metropolitan Health District
480290677,48_029_0677,677,SAN ANTONIO,13,Old Hwy 90,911 Old Hwy 90 West,29.4239439,-98.5804991,9-Oct-06,,San Antonio Metropolitan Health District
